GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID,VPU
2202,3.1,SWBD,-72.94587195,41.81135733,WGS84,6109629,01
2203,1.2,SWBD,-73.31109988,41.75722558,WGS84,7713916,01
2204,3.1,SWBD,-74.78344237,41.61096586,WGS84,4148248,02
2205,1.5,SWBD,-74.75896452,41.4987274,WGS84,4151312,02
2206,0.7,SWBD,-73.75000145,41.45824481,WGS84,6228472,02
2207,20.3,SWBD,-73.45398754,41.5021115,WGS84,7714206,01
2208,1.4,SWBD,-73.5854156,41.41606663,WGS84,932030029,02
2209,3.6,SWBD,-73.70236531,41.42481115,WGS84,6228502,02
2210,1.8,SWBD,-73.58053133,41.39680493,WGS84,6228512,02
2211,1.5,SWBD,-73.64331159,41.40344938,WGS84,6228538,02
2212,3.2,SWBD,-74.98793175,41.37471127,WGS84,4151558,02
2213,2.3,SWBD,-73.73933668,41.38043203,WGS84,6228592,02
2214,3.8,SWBD,-73.66521175,41.37491973,WGS84,6228576,02
2215,0.2,SWBD,-72.61183925,41.36710607,WGS84,6178638,01
2216,3.7,SWBD,-72.77591951,41.34949691,WGS84,6178154,01
2217,2.4,SWBD,-73.62808038,41.33056061,WGS84,6228650,02
2218,2,SWBD,-73.74388946,41.30604803,WGS84,6228808,02
2219,3.2,SWBD,-73.63800224,41.25702691,WGS84,6228846,02
2220,2.9,SWBD,-73.36683737,41.26727196,WGS84,7733515,01
2221,1.7,SWBD,-73.26694941,41.26424864,WGS84,7733479,01
2222,10.1,SWBD,-73.76964885,41.25134434,WGS84,6228310,02
2223,7.2,SWBD,-74.32246305,41.18476878,WGS84,26900408,02
2224,2.1,SWBD,-74.30752116,41.12822972,WGS84,6246530,02
2225,3.6,SWBD,-73.96104483,41.13862417,WGS84,6244508,02
2226,1.5,SWBD,-74.45078119,41.08386975,WGS84,6246730,02
2227,7.7,SWBD,-73.7458826,41.08896459,WGS84,6240387,02
