GRAND_ID,AREA_SKM,POLY_SRC,lon,lat,CRS,COMID
342,0.9,SWBD,-113.2299778,46.16646374,WGS84,24297020
343,1.9,SWBD,-112.7805472,46.15243842,WGS84,24293886
344,1.2,SWBD,-113.3745137,46.11860927,WGS84,24310157
345,3.1,SWBD,-114.2608092,46.0545689,WGS84,24320048
346,3.4,SWBD,-119.1546197,45.86234387,WGS84,23648768
347,1.4,SWBD,-114.2915991,45.70344292,WGS84,24320370
348,1.3,SWBD,-111.7036607,45.69582927,WGS84,4320016
349,3.7,SWBD,-119.8128742,45.6840269,WGS84,24233486
350,2.5,SWBD,-118.7859562,45.59297186,WGS84,23648274
351,2.5,SWBD,-109.2212697,45.44431354,WGS84,4265566
352,13.5,SWBD,-111.6808952,45.43203735,WGS84,3056186
353,0.4,SWBD,-119.5381424,45.34413167,WGS84,23659590
354,6.2,SWBD,-117.2093663,45.30974081,WGS84,23437443
355,11,SWBD,-108.0448922,45.25579808,WGS84,12808078
356,2.8,SWBD,-112.1255996,45.22189832,WGS84,241454
357,1.1,SWBD,-109.7813968,45.22278114,WGS84,7186928
358,2.5,SWBD,-107.6070949,45.15801281,WGS84,12771363
359,8.5,SWBD,-106.7911132,45.08971002,WGS84,5334895
360,0.6,SWBD,-118.0245194,45.05669836,WGS84,24208057
361,2.7,SWBD,-117.7977508,45.0250725,WGS84,24208615
362,18,SWBD,-112.8723621,44.96970553,WGS84,4170598
363,4.5,SWBD,-116.8533417,44.91186904,WGS84,24192786
364,48.1,SWBD,-111.2340601,44.78163988,WGS84,3060130
365,43.6,SWBD,-117.0949327,44.64374001,WGS84,24192874
366,2.3,SWBD,-111.3950957,44.84665173,WGS84,3059998
367,5.3,SWBD,-118.042711,44.67985037,WGS84,24208381
368,14.3,SWBD,-112.2754079,44.6325599,WGS84,4170662
369,1.1,SWBD,-107.2143967,44.56292485,WGS84,5337035
370,94.8,SWBD,-116.0970125,44.59374008,WGS84,24177119
371,12.7,SWBD,-106.7518592,44.47851733,WGS84,5378706
372,3.3,SWBD,-118.1998294,44.50687152,WGS84,24200229
373,25.7,SWBD,-109.233097,44.48106199,WGS84,12795817
374,29.1,SWBD,-111.5083302,44.40657596,WGS84,947040103
375,0.6,SWBD,-116.9010116,44.39710793,WGS84,24184746
376,2.7,SWBD,-117.6983607,44.36471805,WGS84,24154570
377,10.8,SWBD,-115.6629979,44.30913187,WGS84,24160149
378,1.1,SWBD,-110.8074476,44.12715984,WGS84,23143773
379,3.5,SWBD,-108.987771,44.08585491,WGS84,12817335
380,1.4,SWBD,-111.485916,44.09812832,WGS84,24459614
381,4.2,SWBD,-109.0628766,44.04973335,WGS84,12813663
382,2.4,SWBD,-117.4154088,44.02712436,WGS84,24150403
383,5.8,SWBD,-118.1549418,43.92931276,WGS84,23412941
384,106.1,SWBD,-110.6732646,43.89880166,WGS84,23123497
385,0.7,SWBD,-108.8334605,43.66370769,WGS84,12845304
386,40.5,SWBD,-117.3311711,43.4818375,WGS84,24542789
387,8.8,SWBD,-115.8491438,43.60028309,WGS84,23386211
388,12.9,SWBD,-118.235749,43.6154043,WGS84,23413309
389,27.8,SWBD,-116.6765098,43.55674549,WGS84,947050161
390,4,SWBD,-111.739965,43.52817586,WGS84,23148394
391,5.7,SWBD,-116.0042527,43.55679788,WGS84,23382129
392,1.8,SWBD,-114.0370895,43.44199396,WGS84,23267040
393,74.4,SWBD,-108.1839156,43.31872225,WGS84,12871249
394,15.9,SWBD,-115.3482032,43.41250866,WGS84,23389293
395,3.4,SWBD,-115.3812655,43.33738481,WGS84,23386397
396,59.6,SWBD,-111.1116657,43.23826804,WGS84,24439078
397,12.5,SWBD,-114.3796786,43.2853572,WGS84,947040095
398,10.9,SWBD,-109.106455,43.19210669,WGS84,12901142
399,3,SWBD,-108.7732968,43.20721649,WGS84,12870523
400,5,SWBD,-109.9446612,43.09654872,WGS84,18325230
401,1.5,SWBD,-106.7073321,43.01947889,WGS84,22102029
402,66.7,SWBD,-111.6084933,42.91406477,WGS84,24479219
403,7,SWBD,-109.8724254,43.00341481,WGS84,24708496
